county,state,fips,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Autauga,AL,001001,Central Time (US & Canada),32.5349,-86.6428,32.708213,-86.4111719,32.3075739,-86.9212369
Baldwin,AL,001003,Central Time (US & Canada),30.9471,-87.7615,31.319017,-87.3866281,30.221516,-88.02907429999999
Barbour,AL,001005,Central Time (US & Canada),31.8696,-85.3932,32.148251,-85.0549585,31.617565,-85.7484329
Bibb,AL,001007,Central Time (US & Canada),32.9986,-87.1264,33.246926,-86.8760229,32.831522,-87.421989
Blount,AL,001009,Central Time (US & Canada),33.9809,-86.5674,34.260483,-86.3034979,33.7651709,-86.963358
Bullock,AL,001011,Central Time (US & Canada),32.1005,-85.7161,32.305289,-85.4100419,31.88027499999999,-85.999258
Butler,AL,001013,Central Time (US & Canada),31.7524,-86.6803,32.126492,-88.183453,32.0678349,-88.255465
Calhoun,AL,001015,Central Time (US & Canada),33.7714,-85.8261,33.96846,-85.529432,33.5559299,-86.14522029999999
Chambers,AL,001017,Central Time (US & Canada),32.9144,-85.392,33.109038,-85.1221889,32.72853,-85.5936529
Cherokee,AL,001019,Central Time (US & Canada),34.176,-85.6038,34.7714689,-87.953328,34.745401,-87.9841989
Chilton,AL,001021,Central Time (US & Canada),32.8479,-86.7188,33.07188,-86.373994,32.660117,-87.0191569
Choctaw,AL,001023,Central Time (US & Canada),32.0192,-88.2628,32.3105525,-87.9289045,31.697881,-88.473227
Clarke,AL,001025,Central Time (US & Canada),31.6709,-87.8309,31.991355,-87.50093,31.185486,-88.1799583
Clay,AL,001027,Central Time (US & Canada),33.2691,-85.8605,33.754782,-86.542568,33.644356,-86.664839
Cleburne,AL,001029,Central Time (US & Canada),33.6745,-85.5188,33.9642039,-85.304439,33.469226,-85.88778200000002
Coffee,AL,001031,Central Time (US & Canada),31.4026,-85.9882,31.619311,-85.7891389,31.182023,-86.196365
Colbert,AL,001033,Central Time (US & Canada),34.7005,-87.8049,34.9012256,-87.4160079,34.56623,-88.139988
Conecuh,AL,001035,Central Time (US & Canada),31.4293,-86.9936,31.7530349,-86.662082,31.181133,-87.427516
Coosa,AL,001037,Central Time (US & Canada),32.9362,-86.2476,33.1047019,-85.999748,32.753434,-86.5181583
Covington,AL,001039,Central Time (US & Canada),31.2485,-86.4512,31.529623,-86.186876,30.993258,-86.7027909
Crenshaw,AL,001041,Central Time (US & Canada),31.7315,-86.3136,32.05171,-86.1439499,31.440072,-86.50394800000001
Cullman,AL,001043,Central Time (US & Canada),34.132,-86.8676,34.25071,-86.776552,34.0996929,-86.9007269
Dale,AL,001045,Central Time (US & Canada),31.4318,-85.611,31.620566,-85.415334,31.195179,-85.7915809
Dallas,AL,001047,Central Time (US & Canada),32.3258,-87.1065,32.729532,-86.806867,32.047202,-87.47308
DeKalb,AL,001049,Central Time (US & Canada),34.4598,-85.8041,34.860371,-85.513612,34.199262,-86.118911
Elmore,AL,001051,Central Time (US & Canada),32.5966,-86.1492,32.5658,-86.300308,32.519632,-86.34779999999999
Escambia,AL,001053,Central Time (US & Canada),31.1262,-87.1616,31.261997,-86.688063,30.994487,-87.61607400000001
Etowah,AL,001055,Central Time (US & Canada),34.0453,-86.0348,34.200756,-85.737138,33.841598,-86.3696209
Fayette,AL,001057,Central Time (US & Canada),33.7212,-87.7389,33.7327499,-87.8066379,33.6545039,-87.8551009
